Escola_completo;Distrito;Concelho;Tipo de escola;Média Texto;Média Grupo;Latitude;Longitude
175. Escola Secundária de Amares;Braga;Amares;Pública;Média: 11.39;10 a 11,99;41.6335258;-8.3680686
176. Escola Secundária Cristina Torres;Coimbra;Figueira da Foz;Pública;Média: 11.37;10 a 11,99;40.1568832;-8.8472127
177. Escola Secundária de São Pedro do Sul;Viseu;São Pedro do Sul;Pública;Média: 11.35;10 a 11,99;40.7579363;-8.0722884
178. Escola Secundária do Cartaxo;Santarém;Cartaxo;Pública;Média: 11.35;10 a 11,99;39.1678185;-8.7985737
179. Escola Secundária Dr. Ginestal Machado;Santarém;Santarém;Pública;Média: 11.34;10 a 11,99;39.2272165;-8.6885089
180. Externato de Penafirme;Lisboa;Torres Vedras;Privada;Média: 11.34;10 a 11,99;39.1416932;-9.3559259
181. Escola Básica e Secundária Dr. Machado de Matos;Porto;Felgueiras;Pública;Média: 11.34;10 a 11,99;41.3771667;-8.2134914
182. Escola Secundária de Campo Maior;Portalegre;Campo Maior;Pública;Média: 11.34;10 a 11,99;39.0188572;-7.0671781
183. Escola Básica e Secundária de Ourém;Santarém;Ourém;Pública;Média: 11.33;10 a 11,99;39.6595584;-8.5809340
184. Escola Secundária Emídio Navarro;Viseu;Viseu;Pública;Média: 11.33;10 a 11,99;40.6612278;-7.9101390
185. Escola Básica e Secundária Oliveira Júnior;Aveiro;São João da Madeira;Pública;Média: 11.31;10 a 11,99;40.8925133;-8.4877413
186. Escola Secundária da Mealhada;Aveiro;Mealhada;Pública;Média: 11.31;10 a 11,99;40.3872900;-8.4529309
187. Escola Secundária Emídio Navarro;Setúbal;Almada;Pública;Média: 11.3;10 a 11,99;38.6773062;-9.1579293
188. Escola Básica e Secundária José Falcão;Coimbra;Miranda do Corvo;Pública;Média: 11.3;10 a 11,99;40.0906006;-8.3352428
189. Escola Secundária Severim de Faria;Évora;Évora;Pública;Média: 11.29;10 a 11,99;38.5652146;-7.9192594
190. Escola Secundária de Gouveia;Guarda;Gouveia;Pública;Média: 11.29;10 a 11,99;40.4903599;-7.5987365
191. Colégio Guadalupe;Setúbal;Seixal;Privada;Média: 11.28;10 a 11,99;38.5863646;-9.1623934
192. Escola Secundária de Seia;Guarda;Seia;Pública;Média: 11.27;10 a 11,99;40.4111902;-7.7106320
193. Escola Básica e Secundária de Sever do Vouga;Aveiro;Sever do Vouga;Pública;Média: 11.25;10 a 11,99;40.7282300;-8.3686999
194. Colégio de São Miguel de Fátima;Santarém;Ourém;Privada;Média: 11.24;10 a 11,99;39.6408090;-8.6804219
195. Escola Básica e Secundária de Idães;Porto;Felgueiras;Pública;Média: 11.24;10 a 11,99;41.3284687;-8.2628757
196. Escola Secundária José Loureiro Botas;Leiria;Marinha Grande;Pública;Média: 11.23;10 a 11,99;39.8620262;-8.9365377
197. Escola Secundária de Mirandela;Bragança;Mirandela;Pública;Média: 11.23;10 a 11,99;41.4779539;-7.1835311
198. Escola Secundária Júlio Dinis;Aveiro;Ovar;Pública;Média: 11.22;10 a 11,99;40.8570288;-8.6226518
199. Escola Secundária de Alpendurada;Porto;Marco de Canaveses;Pública;Média: 11.22;10 a 11,99;41.0835689;-8.2496384
200. Escola Secundária de Lousada;Porto;Lousada;Pública;Média: 11.22;10 a 11,99;41.2731472;-8.2792721
